iter	MultiClass
0	1.091144312
1	1.084789655
2	1.079259878
3	1.073777785
4	1.068361917
5	1.063367903
6	1.058620878
7	1.055375776
8	1.051019917
9	1.047447741
10	1.044217839
11	1.040675276
12	1.037543972
13	1.03405745
14	1.031440972
15	1.028813123
16	1.026253878
17	1.023797576
18	1.021489645
19	1.019475944
20	1.017344979
21	1.015214026
22	1.013269171
23	1.011380779
24	1.009983552
25	1.008478359
26	1.007080343
27	1.005755476
28	1.00449798
29	1.003122175
30	1.002037674
31	1.000633995
32	0.9995409445
33	0.9983250357
34	0.9971671475
35	0.996170993
36	0.9950872682
37	0.9944224475
38	0.9934127593
39	0.9925116976
40	0.9916651244
41	0.9908363323
42	0.9900723943
43	0.9892996874
44	0.9884188538
45	0.98757727
46	0.9868231068
47	0.9857675227
48	0.9853507237
49	0.9843319247
50	0.9835464293
51	0.9828488028
52	0.9821304811
53	0.981373296
54	0.980807848
55	0.9801050491
56	0.979516876
57	0.9786412874
58	0.9777987354
59	0.9769796466
60	0.9762430037
61	0.9754067264
62	0.974328369
63	0.9735631539
64	0.9727594276
65	0.9722618633
66	0.9713405412
67	0.9701487023
68	0.9697512064
69	0.9692916817
70	0.9687120183
71	0.9680384239
72	0.9673309839
73	0.9664867535
74	0.9658860307
75	0.9651318009
76	0.9643988506
77	0.96368451
78	0.9630404393
79	0.9624689804
80	0.961733118
81	0.9612098704
82	0.9603914588
83	0.9594918165
84	0.9589191165
85	0.9583153283
86	0.9576529661
87	0.9570658438
88	0.9563564061
89	0.9557768948
90	0.9549225842
91	0.9540415581
92	0.9534223003
93	0.9529290782
94	0.952174935
95	0.9512367498
96	0.9508303326
97	0.9501992951
98	0.9495167218
99	0.949196551
100	0.9487989061
101	0.9480763549
102	0.9473643497
103	0.9466136682
104	0.9461145741
105	0.945507815
106	0.9446446397
107	0.9443694973
108	0.9438813787
109	0.9436155292
110	0.9427081125
111	0.9421243508
112	0.9416752023
113	0.940890197
114	0.9403170965
115	0.9400784908
116	0.9397076696
117	0.939077526
118	0.9386614249
119	0.9380696074
120	0.937492077
121	0.9370352402
