iter	MultiClass
122	0.9364578745
123	0.9357700973
124	0.9353613618
125	0.9347470173
126	0.9337888941
127	0.9331960442
128	0.9325036521
129	0.9316813664
130	0.9311268376
131	0.930467089
132	0.9301387078
133	0.9297122514
134	0.9293252327
135	0.9287260958
136	0.9282565104
137	0.9276750114
138	0.9267849846
139	0.9259455175
140	0.9255964629
141	0.9252078199
142	0.9246971945
143	0.9241585901
144	0.9237602204
145	0.9229389207
146	0.9224595632
147	0.9221174563
148	0.9215598929
149	0.9209337221
150	0.9202760401
151	0.9196971833
152	0.9188850684
153	0.9182551146
154	0.9177985512
155	0.9173653669
156	0.9170551144
157	0.9164410031
158	0.9157859331
159	0.9155401005
160	0.9150568263
161	0.9146069447
162	0.9141696804
163	0.9135008756
164	0.9130052629
165	0.9126144593
166	0.9118346007
167	0.9111755472
168	0.9106541823
169	0.9098587692
170	0.9093124863
171	0.9088770241
172	0.908590615
173	0.9081063812
174	0.9074252419
175	0.906933403
176	0.9061583774
177	0.9052966195
178	0.9047996381
179	0.9039686716
180	0.9034818572
181	0.9028796081
182	0.9021855957
183	0.9018322359
184	0.9013142191
185	0.9007591099
186	0.9003157831
187	0.8999055022
188	0.8995562848
189	0.8990345495
190	0.8983583633
191	0.8976956468
192	0.8973000332
193	0.8965207533
194	0.8959192407
195	0.8954967539
196	0.8949514635
197	0.8943232
198	0.8935380151
199	0.8931513249
200	0.8924053248
201	0.8917438242
202	0.8910203998
203	0.8903957648
204	0.8894619499
205	0.8886925986
206	0.8883417064
207	0.8872859621
208	0.886594157
209	0.8859318744
210	0.8851223718
211	0.8844769703
212	0.883793179
213	0.8831441463
214	0.8824517345
215	0.882025953
216	0.8814761391
217	0.8808720601
218	0.880278673
219	0.8796844803
220	0.8786751755
221	0.8781468296
222	0.877482563
223	0.8769974452
224	0.8763410362
225	0.8756362152
226	0.875355506
227	0.8748807623
228	0.8744028522
229	0.8735640501
230	0.8726676238
231	0.8720158646
232	0.8714990605
233	0.8709769874
234	0.8702314996
235	0.8697642759
236	0.8688004117
237	0.8681574108
238	0.8677841919
239	0.8671156207
240	0.866426165
241	0.8659039939
242	0.8651995459
243	0.8646045181
244	0.8637786624
245	0.8631039988
246	0.8625200328
247	0.8617381628
248	0.8610711301
249	0.8603837574
250	0.8598017868
251	0.8591940064
252	0.8585510685
253	0.8578198743
254	0.8570149704
255	0.8563306824
256	0.8557077439
257	0.8549647092
258	0.8545131803
259	0.8538550621
260	0.8528267246
261	0.8522961575
262	0.8515109242
263	0.8509013572
264	0.8501965118
265	0.8497259394
266	0.8490090038
267	0.8481766289
268	0.8471698187
269	0.8465939151
270	0.8458956641
271	0.8453366943
272	0.8448760375
273	0.8442921209
274	0.8435778728
275	0.8428875326
276	0.8423018828
277	0.8413722965
278	0.8402977071
279	0.8396884647
280	0.8389114812
281	0.8380649382
282	0.8376376557
283	0.8369972651
284	0.8364148436
285	0.8359184289
286	0.8354015767
287	0.8348175864
288	0.8340819504
289	0.833602887
290	0.8331405321
291	0.8325458851
292	0.8321747544
293	0.8315738508
294	0.8310968078
295	0.8306160675
296	0.8299460363
297	0.8295271519
298	0.8289931042
299	0.8285644272
300	0.8280006089
301	0.8271908402
302	0.8266369589
303	0.826194436
304	0.8257968717
305	0.8253693345
306	0.8247939075
307	0.8241543002
308	0.8235235635
309	0.8229284101
310	0.8223912
311	0.8219519681
312	0.821571905
313	0.8211108884
314	0.8204912153
315	0.8198321188
316	0.8192299441
317	0.8189112333
318	0.8179397981
319	0.8173084803
320	0.8165659081
321	0.8159636935
322	0.8152868898
323	0.8148808539
324	0.8143467009
325	0.8137410231
326	0.8130690585
327	0.8123758085
328	0.8118174518
329	0.810885219
330	0.8101131613
331	0.8096938664
332	0.8091549272
333	0.8084665461
334	0.8077017343
335	0.8072002869
336	0.8066348515
337	0.8061370904
338	0.8052684849
339	0.8048795884
340	0.8042372847
341	0.8034712719
342	0.8030320366
343	0.8026742865
344	0.802157777
345	0.8016642937
346	0.8009332265
347	0.8004857234
348	0.7999979004
349	0.7992046083
350	0.7984947125
351	0.7979335156
352	0.7975980557
353	0.797175822
354	0.796565616
355	0.7961483938
356	0.7956180188
357	0.7948925779
358	0.7943796155
359	0.7938504415
360	0.793264244
361	0.7926821418
362	0.7919754026
363	0.7912030716
364	0.7904789503
365	0.7899609235
366	0.7892255905
367	0.7886793303
368	0.7880414088
369	0.7872021153
370	0.7864583438
371	0.7859270201
372	0.7853554074
373	0.7849110922
374	0.7844138609
375	0.7839310836
376	0.7832913871
377	0.7825837662
378	0.7820828179
379	0.7814476048
380	0.7807546407
381	0.7801868405
382	0.7795016448
383	0.7790136389
384	0.7784696665
385	0.7780322449
386	0.777276022
387	0.7767946146
388	0.7763660122
389	0.7760590345
390	0.7752924648
391	0.7746462822
392	0.7739130498
393	0.7732244669
394	0.7727531972
395	0.7723579646
396	0.7716386992
397	0.7711823161
398	0.7708114156
399	0.7703340613
